ccid,name,url_path,parent_ccid,seo_name,title,desc,meta_title,meta_desc,meta_keywords,secondary_url_paths,breadcrumbs,image_url,banner_url,is_active,is_primary
PSA0,Activities,/shop/category/activities,,category-activities,Activities,Find a wide selection of products for a variety of sports and recreation activities,,,Sports and Recreation products. Sports products.,,,https://ch.sitecoredemo.com/api/public/content/bc9683dad6b544618ea26e7ff8aa585a?v=84389a3b,,TRUE,TRUE
PSAR,Running,/shop/category/activities/running,PSA0,category-activities-running,Running,Run and fitness,,,,,Activities>Running,https://ch.sitecoredemo.com/api/public/content/94ba949ee9c24c0dac4a59939ec02708?v=1c8fa1b0,,TRUE,TRUE
PSARE,Electronics,/shop/category/activities/running/electronics,PSAR,category-activities-running-electronics,Running Electronics,,,,,,Activities>Running>Electronics,https://ch.sitecoredemo.com/api/public/content/a499193a0d574a449eec9f1f7ee8c4bd?v=1cc2975f,,TRUE,TRUE
PSARC,Clothing,/shop/category/activities/running/clothing,PSAR,category-activities-running-clothing,Running Clothing,,,,,,Activities>Running>Clothing,,,TRUE,TRUE
PSARCM,Men,/shop/category/activities/running/clothing/men,PSARC,category-activities-running-clothing-men,Running Clothing Men,,,,,,Activities>Running>Clothing>Men,,,TRUE,TRUE
PSARCW,Women,/shop/category/activities/running/clothing/women,PSARC,category-activities-running-clothing-women,Running Clothing Women,,,,,,Activities>Running>Men>Women,,,TRUE,TRUE
PSARA,Accessories,/shop/category/activities/running/accessories,PSAR,category-activities-running-accessories,Running Accessories,,,,,,Activities>Running>Accessories,https://ch.sitecoredemo.com/api/public/content/dd3890142fc849899ec4aad493f0d848?v=e13e73e9,,TRUE,TRUE
PSAF,Fitness,/shop/category/activities/fitness,PSA0,category-activities-fitness,Fitness,,,,,,Activities>Fitness,https://ch.sitecoredemo.com/api/public/content/64f5a4e3a63e4c58a625ba5d9d4b3433?v=70ecacf2,,TRUE,TRUE
PSAFA,Accessories,/shop/category/activities/fitness/accessories,PSAF,category-activities-fitness-accessories,Fitness Accessories,,,,,,Activities>Fitness>Accessories,https://ch.sitecoredemo.com/api/public/content/299af23d431c4d928e31c3d60d966e39?v=d988fe6f,,TRUE,TRUE
PSAFE,Equipment,/shop/category/activities/fitness/equipment,PSAF,category-activities-fitness-equipment,Fitness Equipment,,,,,,Activities>Fitness>Equipment,https://ch.sitecoredemo.com/api/public/content/7fe8722c6be54a52aeaf6f1e7ea78696?v=bd6175b1,,TRUE,TRUE
PSAFEM,Machines,/shop/category/activities/fitness/equipment/machines,PSAFE,category-activities-fitness-equipment-machines,Fitness Machines,,,,,,Activities>Fitness>Equipment>Machines,https://ch.sitecoredemo.com/api/public/content/4f283df4951746b58a29132688e04635?v=2887c77a,,TRUE,TRUE
PSAFER,Resistance Training,/shop/category/activities/fitness/equipment/resistance-training,PSAFE,category-activities-fitness-equipment-resistance-training,Fitness Resistance Training,,,,,,Activities>Fitness>Equipment>Resistance Training,,,TRUE,TRUE
PSAFEW,Weights,/shop/category/activities/fitness/equipment/weights,PSAFE,category-activities-fitness-equipment-weights,Fitness Weights,,,,,,Activities>Fitness>Equipment>Weights,,,TRUE,TRUE
PSAFEWB,Barbells,/shop/category/activities/fitness/equipment/weights/barbells,PSAFEW,category-activities-fitness-equipment-weights-barbells,Fitness Barbells,,,,,,Activities>Fitness>Equipment>Weights>Barbells,,,TRUE,TRUE
PSAFEWD,Dumbells,/shop/category/activities/fitness/equipment/weights/dumbells,PSAFEW,category-activities-fitness-equipment-weights-dumbells,Fitness Dumbells,,,,,,Activities>Fitness>Equipment>Weights>Dumbells,,,TRUE,TRUE
PSAFEWK,Kettlebells,/shop/category/activities/fitness/equipment/weights/kettlebells,PSAFEW,category-activities-fitness-equipment-weights-kettlebells,Fitness Kettlebells,,,,,,Activities>Fitness>Equipment>Weights>Kettlebells,,,TRUE,TRUE
PSAFEWW,Wearables,/shop/category/activities/fitness/equipment/weights/wearables,PSAFEW,category-activities-fitness-equipment-weights-wearables,Fitness Wearables,,,,,,Activities>Fitness>Equipment>Weights>Wearables,,,TRUE,TRUE
PSAFH,Health Supplements,/shop/category/activities/fitness/health-supplements,PSAF,category-activities-fitness-health-supplements,Fitness Health Supplements,,,,,,Activities>Fitness>Health Supplements,,,TRUE,TRUE
PSAFC,Clothing,/shop/category/activities/fitness/clothing,PSAF,category-activities-fitness-clothing,Fitness Clothing,,,,,,Activities>Fitness>Clothing,,,TRUE,TRUE
PSAFCM,Men,/shop/category/activities/fitness/clothing/men,PSAFC,category-activities-fitness-clothing-men,Fitness Clothing Men,,,,,,Activities>Fitness>Clothing>Men,,,TRUE,TRUE
PSAFCW,Women,/shop/category/activities/fitness/clothing/women,PSAFC,category-activities-fitness-clothing-women,Fitness Clothing Women,,,,,,Activities>Fitness>Clothing>Women,,,TRUE,TRUE
PSAFM,Memberships and Lessons,/shop/category/activities/fitness/memberships-and-lessons,PSAF,category-activities-fitness-memberships-and-lessons,Fitness Memberships and Lessons,,,,,,Activities>Fitness>Memberships and Lessons,,,TRUE,TRUE
PSAY,Yoga,/shop/category/activities/yoga,PSA0,category-activities-yoga,Yoga,,,,,,Activities>Yoga,https://ch.sitecoredemo.com/api/public/content/67343efa0406425da5260603a1c58435?v=33640253,,TRUE,TRUE
PSAYA,Accessories,/shop/category/activities/yoga/accessories,PSAY,category-activities-yoga-accessories,Yoga Accessories,,,,,,Activities>Yoga>Accessories,https://ch.sitecoredemo.com/api/public/content/dd57dfb13b664a30866149b9ed43f0ba?v=4e09b99e,,TRUE,TRUE
PSAYAM,Mats,/shop/category/activities/yoga/accessories/mats,PSAYA,category-activities-yoga-accessories-mats,Yoga Mats,,,,,,Activities>Yoga>Accessories>Mats,https://ch.sitecoredemo.com/api/public/content/f3295b81b6854fd6968e878f77019d07?v=cff805f8,,TRUE,TRUE
PSAYAB,Bags,/shop/category/activities/yoga/accessories/bags,PSAYA,category-activities-yoga-accessories-bags,Yoga Bags,,,,,,Activities>Yoga>Accessories>Bags,,,TRUE,TRUE
PSAYM,Memberships and Lessons,/shop/category/activities/yoga/memberships-and-lessons,PSAY,category-activities-yoga-memberships-and-lessons,Yoga Memberships and Lessons,,,,,,Activities>Yoga>Memberships and Lessons,,,TRUE,TRUE
PSAYC,Clothing,/shop/category/activities/yoga/clothing,PSAY,category-activities-yoga-clothing,Yoga Clothing,,,,,,Activities>Yoga>Clothing,,,TRUE,TRUE
PSAYCM,Men,/shop/category/activities/yoga/clothing/men,PSAYC,category-activities-yoga-clothing-men,Yoga Clothing Men,,,,,,Activities>Yoga>Clothing>Men,,,TRUE,TRUE
PSAYCW,Women,/shop/category/activities/yoga/clothing/women,PSAYC,category-activities-yoga-clothing-women,Yoga Clothing Women,,,,,,Activities>Yoga>Clothing>Women,,,TRUE,TRUE
PSAC,Cycling,/shop/category/activities/cycling,PSA0,category-activities-cycling,Cycling,,,,,,Activities>Cycling,https://ch.sitecoredemo.com/api/public/content/37857f27969f4a70aab502a61aaea6be?v=5eb7dded,,TRUE,TRUE
