product_group,name,product_url,image_url,short_description,description,sku,sku_name,sku_url,sku_image_url,sku_description,ccids,category_breadcrumbs,price,final_price,is_active,product_type,set_skus,bundle_skus,stock_quantity,stock_unit,sku_sequence,add_to_cart,quick_view or quick_look ,search_keywords,additional_image_urls,additional_sku_image_urls,promotion_flag,save_off,brand,brand_code,mobile_product_url,mobile_image_url,mobile_sku_url,mobile_sku_image_url,color,color_display_name,color_rgb,size,review_rating,review_count,review_link,margin,rankby1,rankby2,map_message,dyn_attrs,dyn_attrs_numeric,release_date,expiration_date
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BL-S,,,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,blue,Sky Blue,,S,,,,,,,,,,,
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BL-M,,,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,blue,Sky Blue,,M,,,,,,,,,,,
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BL-L,,,https://playsummit.sitecoresandbox.cloud/api/public/content/cdd637d24e2f49708317ca0a486358b2?v=91723f72,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,blue,Sky Blue,,L,,,,,,,,,,,
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BK-S,,,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,black,Black,,S,,,,,,,,,,,
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BK-M,,,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,black,Black,,M,,,,,,,,,,,
PSPAMMWSSRCJ,Alba Male Moisture-Wicking Short Sleeved Road Cycling Jersey,/shop/products/alba-male-moisture-wicking-short-sleeved-road-cycling-jersey,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,"A lightweight cycling jersey that effectively wicks away moisture from the body, this jersey has a comfortable fit and is made from a lightweight material.",Our road cycling jersey is designed to make a great introduction to road cycling in warm weather. The jersey has a single zip pocket so you can carry items safely. Perspiration is wicked to the outside and the jersey dries quickly thanks to the 100% recycled polyester thread.  Relaxed cut: suitable for all body types.,PSPAMMWSSRCJ-BK-L,,,https://playsummit.sitecoresandbox.cloud/api/public/content/770be11e8c5040ac88d83092fb1f4e0c?v=e89e2aeb,,PSCMT|PSACCM,,12.99,12.99,,,,,,,,,,,,,,,Alba,,,,,,black,Black,,L,,,,,,,,,,,
PSPCCCBL,CenterCycle Combination Bike Lock,/shop/products/centercycle-combination-bike-lock,https://playsummit.sitecoresandbox.cloud/api/public/content/5440af452af342f08871658aad54492b?v=0e6c8ecb,An affordable and practical coil bike lock for everyday use.,"This bike lock is a patented, simple and quick to use bike storage system that secures the wheels, saddle and other components of your bike during short stops. It is made from a high-strength polymer and can be used with wider saddles. It weighs 1.3 pounds and comes in at 59.1 inches long.",PSPCCCBL,,,,,PSACES,,14.99,14.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
PSPCCMBDL,CenterCycle Mini Bike D-Lock,/shop/products/centercycle-mini-bike-d-lock,https://playsummit.sitecoresandbox.cloud/api/public/content/277e6351e51645afa150ecf7a0e801cb?v=f21ea69f,"Introducing a high-security, ultra-compact, ultra-sturdy bike lock set.","We have developed this bike lock that offers an excellent level of security to keep your bike safe from thieves. This lock is lightweight, easy to carry and lets you secure your bike to a fixed point in an urban environment. A high-security lock with a rating of 8/10, it secures the frame to a fixed object by using the 6-inch shackle. ",PSPCCMBDL,,,,,PSACES,,34.99,34.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
PSPCCFLEDBBL,CenterCycle Front LED Battery Bike Light,/shop/products/centercycle-front-led-battery-bike-light,https://playsummit.sitecoresandbox.cloud/api/public/content/350c0d0cb98245aa910e45546f859997?v=68e522f1,"LED front bike light that runs on batteries, making it perfect for occasional cycling to ensure visibility in the front. ","We have designed a battery powered bike light to be seen from the front. It has an elastic fastening system that is easy to use. In continuous mode, it will last 32 hours and in flashing mode it will last 44 hours. 2 CR2032 batteries are included.",PSPCCFLEDBBL,,,,,PSACES,,6.99,6.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
PSPCCRBLEDBL,CenterCycle Rear Battery LED Bike Light,/shop/products/centercycle-rear-battery-led-bike-light,https://playsummit.sitecoresandbox.cloud/api/public/content/7806cceb2fc640428c9a6805a31dc5da?v=0c427eee,"LED front bike light that runs on batteries, making it perfect for occasional cycling to ensure visibility in the back. ","We have designed a battery powered bike light to be seen from the back. It has an elastic fastening system that is easy to use. In continuous mode, it will last 32 hours and in flashing mode it will last 44 hours. 2 CR2032 batteries are included.",PSPCCRBLEDBL,,,,,PSACES,,6.99,6.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
PSPCCBLSFRBPLED,CenterCycle Bike Light Set Front/Rear Battery-Powered LED,/shop/products/centercycle-bike-light-set-frontrear-battery-powered-led,https://playsummit.sitecoresandbox.cloud/api/public/content/c02027f9a7694d5e8a9c34745ca87bb2?v=b59b725e,"With the growing concern of bike safety, especially at night, we wanted to develop a product that would make biking safer.","This bike light set is made by a French company, and it has been certified for road safety. It provides 25 lux of illumination (enough to see at a gentle pace) from the front, and 15 lux from the rear. The rear light has a range of visibility of 220°, which will allow vehicles coming from any angle to see you. Front light has three modes: High/low/flash (33 hours). Rear light has one mode: Constant RED (102 hours) both are easy to install and use. They're waterproof and made of durable materials that will last many years.",PSPCCBLSFRBPLED,,,,,PSACES,,24.99,24.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
PSPCCHP,CenterCycle Hand Pump,/shop/products/centercycle-hand-pump,https://playsummit.sitecoresandbox.cloud/api/public/content/e78328e35361438aad3006fd03602f52?v=7a328415,Portable universal hand pump,"A universal hand pump that works with the three most popular valves: Schrader, Presta and Dunlop. With its simple design it's easy to use anywhere and anytime. Super compact, making it easy to carry in your bag so you can always inflate tires on the go. The ultra-lightweight pump fits easily into any bicycle or sports equipment bag and comes with an attachment clip allowing you to take it with you anywhere you go.",PSPCCHP,,,,,PSACEM,,6.99,6.99,,,,,,,,,,,,,,,CenterCycle,,,,,,,,,,,,,,,,,,,,
